Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
303580174,Uncontrolled Resource Consumption in jinja2,Supply Chain,Medium,Open,jinja2,2.10,No Reachability Analysis,Unknown,CVE-2020-28493,0.21% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L11,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580174,2025-11-25 15:33:51.697214,2025-11-25 15:33:51.676628,refs/heads/master,,,,Affected versions of Jinja2 are vulnerable to Uncontrolled Resource Consumption.
303580173,HTTP Request/Response Smuggling in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,CVE-2023-37276,5.78% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580173,2025-11-25 15:33:51.697197,2025-11-25 15:33:51.676618,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling').
303580172,Improper Input Validation in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,CVE-2023-49082,0.24% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580172,2025-11-25 15:33:51.697179,2025-11-25 15:33:51.676608,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Improper Input Validation.
303580171,HTTP Request/Response Smuggling in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,GHSA-pjjw-qhg8-p2p9,0.0% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580171,2025-11-25 15:33:51.697162,2025-11-25 15:33:51.676598,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling').
303580170,HTTP Request/Response Smuggling in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,CVE-2023-47627,0.26% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580170,2025-11-25 15:33:51.697145,2025-11-25 15:33:51.676587,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling').
303580169,Cross-site Scripting in jinja2,Supply Chain,Medium,Open,jinja2,2.10,No Reachability Analysis,Unknown,CVE-2024-22195,0.11% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L11,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580169,2025-11-25 15:33:51.697128,2025-11-25 15:33:51.676577,refs/heads/master,,,,Affected versions of jinja2 are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
303580168,HTTP Request/Response Smuggling in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,CVE-2024-23829,0.38% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580168,2025-11-25 15:33:51.697110,2025-11-25 15:33:51.676566,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling').
303580167,Inefficient Regular Expression Complexity in idna,Supply Chain,Medium,Open,idna,2.8,No Reachability Analysis,Unknown,CVE-2024-3651,0.76% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L10,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580167,2025-11-25 15:33:51.697093,2025-11-25 15:33:51.676555,refs/heads/master,,,,Affected versions of idna are vulnerable to Inefficient Regular Expression Complexity / Uncontrolled Resource Consumption.
303580166,Cross-site Scripting in aiohttp,Supply Chain,Medium,Open,aiohttp,3.5.3,No Reachability Analysis,Unknown,CVE-2024-27306,0.75% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L3,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580166,2025-11-25 15:33:51.697075,2025-11-25 15:33:51.676542,refs/heads/master,,,,Affected versions of aiohttp are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
303580165,Cross-site Scripting in jinja2,Supply Chain,Medium,Open,jinja2,2.10,No Reachability Analysis,Unknown,CVE-2024-34064,0.85% (Low),,sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi,https://github.com/sadebf2001/dvpwa_psi/blob/a1d8f89fac2e57093189853c6527c2b01fc1d9c1/requirements.txt#L11,https://semgrep.dev/orgs/sade_melchor_psi/supply-chain/findings/303580165,2025-11-25 15:33:51.697058,2025-11-25 15:33:51.676530,refs/heads/master,,,,Affected versions of Jinja2 are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
